,cluster,y,x,E,size
131,008495_C,15.0,12.0,874495.0,111.0
132,007331_E,9.0,6.0,421813.0,40.0
133,005459_B,15.0,14.0,991852.0,150.0
134,001270_G,6.0,10.0,436448.0,44.0
135,008113_D,48.0,8.0,1011750.0,177.0
136,002423_A,23.0,21.0,1330855.0,152.0
137,001028_H,39.0,8.0,931651.0,157.0
138,002465_B,8.0,9.0,324814.0,58.0
139,004887_D,22.0,13.0,731505.0,106.0
140,001545_E,4.0,4.0,62326.0,12.0
141,005625_F,9.0,42.0,1012809.0,165.0
142,010119_G,28.0,10.0,1277878.0,154.0
143,005126_G,7.0,13.0,553645.0,60.0
144,005126_F,13.0,7.0,553645.0,60.0
145,008894_D,2.0,4.0,31309.0,6.0
146,008048_F,35.0,30.0,1027606.0,179.0
147,005493_D,6.0,6.0,180670.0,30.0
148,001967_A,24.0,21.0,1164155.0,180.0
149,007803_H,6.0,6.0,157120.0,29.0
150,005988_C,7.0,3.0,68948.0,12.0
151,002270_E,7.0,7.0,257311.0,31.0
152,006827_G,7.0,6.0,290665.0,27.0
153,004628_E,3.0,3.0,32482.0,5.0
154,003303_B,10.0,59.0,1481517.0,246.0
155,004908_E,9.0,31.0,1010648.0,149.0
156,011380_F,3.0,3.0,47481.0,8.0
157,002367_B,6.0,5.0,109740.0,25.0
158,008380_D,12.0,10.0,556007.0,84.0
159,005034_F,5.0,5.0,108237.0,18.0
160,004851_F,33.0,11.0,940237.0,151.0
161,004753_F,12.0,8.0,473698.0,54.0
162,011892_A,11.0,13.0,523914.0,67.0
163,004481_H,21.0,6.0,640418.0,89.0
164,011935_H,15.0,22.0,0.0,0.0
165,000309_G,4.0,4.0,98144.0,13.0
166,007651_C,11.0,32.0,1729954.0,202.0
167,000430_A,3.0,3.0,41746.0,8.0
168,000476_C,11.0,14.0,1239951.0,96.0
169,006854_A,3.0,3.0,27777.0,5.0
170,009193_D,44.0,25.0,1814295.0,303.0
171,001457_C,42.0,54.0,1512026.0,270.0
172,007976_F,33.0,39.0,1729213.0,237.0
173,011654_G,79.0,16.0,1774409.0,309.0
174,001198_C,11.0,8.0,351079.0,63.0
175,000801_H,4.0,5.0,259046.0,15.0
176,010991_G,17.0,28.0,836510.0,130.0
177,010416_A,7.0,6.0,250224.0,32.0
178,006940_E,19.0,30.0,936123.0,144.0
179,000406_B,7.0,47.0,1091069.0,181.0
180,011896_D,4.0,5.0,0.0,0.0
181,011892_F,13.0,11.0,523914.0,67.0
182,004489_F,5.0,5.0,90859.0,21.0
183,007220_E,30.0,12.0,1257277.0,162.0
184,007936_H,27.0,68.0,1798878.0,299.0
185,007875_B,4.0,4.0,65352.0,14.0
186,011871_A,12.0,22.0,508190.0,51.0
187,003721_C,76.0,45.0,2221023.0,364.0
188,011130_A,8.0,4.0,353952.0,27.0
189,002431_E,7.0,23.0,743854.0,105.0
190,002854_B,27.0,32.0,1072305.0,170.0
191,008219_D,3.0,3.0,24584.0,6.0
192,010980_C,16.0,12.0,288432.0,43.0
193,000154_C,66.0,60.0,2260511.0,381.0
194,000185_A,6.0,6.0,182856.0,30.0
195,001145_D,30.0,41.0,1367242.0,225.0
196,001754_A,7.0,38.0,1032160.0,163.0
197,011892_G,11.0,13.0,523914.0,67.0
198,010962_G,38.0,7.0,1128586.0,164.0
199,002560_G,12.0,16.0,1011910.0,119.0
200,005127_C,75.0,90.0,2603033.0,454.0
201,011376_H,16.0,13.0,639220.0,90.0
202,006963_H,13.0,19.0,763355.0,102.0
203,006935_G,4.0,4.0,54161.0,13.0
204,008043_D,3.0,3.0,33553.0,7.0
205,004010_G,23.0,12.0,710968.0,104.0
206,000329_H,10.0,19.0,615220.0,84.0
207,001519_F,6.0,18.0,621684.0,78.0
208,006534_H,4.0,5.0,63561.0,15.0
209,010329_B,15.0,31.0,1272999.0,200.0
210,008906_D,78.0,23.0,1806497.0,313.0
211,005057_E,12.0,5.0,404305.0,29.0
212,002432_F,10.0,9.0,609062.0,55.0
213,004589_G,11.0,9.0,480509.0,52.0
214,002311_G,8.0,8.0,265265.0,48.0
215,005443_G,8.0,7.0,503425.0,38.0
216,004010_H,12.0,23.0,710968.0,104.0
217,009167_G,14.0,26.0,1157159.0,162.0
218,001484_F,30.0,30.0,1285274.0,193.0
219,003303_D,10.0,59.0,1481517.0,246.0
220,002989_H,27.0,29.0,969133.0,149.0
221,008325_F,49.0,11.0,895339.0,149.0
222,006566_G,3.0,4.0,159544.0,9.0
223,005779_C,114.0,29.0,2355072.0,435.0
224,007793_C,10.0,7.0,319259.0,49.0
225,001386_H,5.0,5.0,184008.0,19.0
226,008844_C,14.0,20.0,692490.0,97.0
227,007694_A,16.0,15.0,866111.0,109.0
228,007392_G,30.0,17.0,731892.0,86.0
229,009862_D,9.0,18.0,768358.0,113.0
230,005779_A,114.0,29.0,2355072.0,435.0
231,000609_B,3.0,3.0,26698.0,6.0
232,001802_H,6.0,5.0,150135.0,24.0
233,001002_C,4.0,5.0,76574.0,15.0
234,003713_H,3.0,2.0,113736.0,5.0
235,009735_F,13.0,25.0,1104203.0,154.0
236,007523_F,5.0,4.0,92578.0,17.0
237,003824_C,7.0,8.0,274454.0,42.0
238,007695_H,36.0,121.0,4823328.0,895.0
239,000408_G,31.0,14.0,1207714.0,155.0
240,010767_G,6.0,6.0,227821.0,33.0
241,005018_F,6.0,68.0,1701230.0,277.0
242,011123_E,10.0,47.0,1375890.0,216.0
243,007443_A,13.0,21.0,834415.0,115.0
244,009738_G,7.0,6.0,276933.0,34.0
245,005490_D,39.0,48.0,1587967.0,269.0
246,004775_B,124.0,190.0,8182689.0,1417.0
247,005874_C,5.0,5.0,149004.0,22.0
248,000289_H,3.0,3.0,96780.0,6.0
249,000594_F,29.0,15.0,806555.0,127.0
250,005265_B,7.0,6.0,375163.0,33.0
251,010898_C,5.0,5.0,106644.0,21.0
252,000874_C,17.0,38.0,1677450.0,253.0
253,008219_C,3.0,3.0,24584.0,6.0
254,002795_F,25.0,25.0,872086.0,141.0
255,001967_B,21.0,24.0,1164155.0,180.0
256,004775_H,124.0,190.0,8182689.0,1417.0
257,002025_G,7.0,7.0,403788.0,37.0
258,000476_E,11.0,14.0,1239951.0,96.0
259,004374_H,9.0,10.0,614237.0,74.0
260,002021_B,14.0,49.0,1115525.0,194.0
261,009822_A,57.0,34.0,1797787.0,281.0
262,003120_C,5.0,5.0,122330.0,21.0
263,000637_F,8.0,22.0,740342.0,103.0
264,007392_F,17.0,30.0,731892.0,86.0
265,002992_H,33.0,37.0,1197839.0,221.0
266,008912_H,26.0,13.0,777559.0,117.0
267,004058_E,6.0,10.0,350084.0,37.0
268,003748_F,8.0,8.0,232242.0,42.0
269,005057_C,12.0,5.0,404305.0,29.0
270,004822_C,11.0,37.0,920595.0,152.0
271,005208_H,6.0,20.0,570431.0,82.0
272,001166_F,14.0,20.0,689852.0,120.0
273,006097_G,14.0,88.0,2150226.0,361.0
274,005947_A,2.0,3.0,27734.0,5.0
275,009411_B,8.0,26.0,779910.0,114.0
276,011978_C,4.0,5.0,0.0,0.0
277,007443_C,13.0,21.0,834415.0,115.0
278,002625_C,3.0,3.0,36099.0,5.0
279,006126_F,6.0,6.0,163704.0,29.0
280,006954_E,11.0,10.0,770481.0,65.0
281,002178_H,7.0,7.0,195873.0,38.0
282,011123_C,10.0,47.0,1375890.0,216.0
283,010980_F,12.0,16.0,288432.0,43.0
284,005217_G,31.0,38.0,1192143.0,200.0
285,005034_G,5.0,5.0,108237.0,18.0
286,005499_G,3.0,3.0,40709.0,8.0
287,000407_F,2.0,3.0,75870.0,6.0
288,007045_A,4.0,4.0,56331.0,13.0
289,011654_D,16.0,79.0,1774409.0,309.0
290,005625_G,42.0,9.0,1012809.0,165.0
291,004822_B,37.0,11.0,920595.0,152.0
292,010459_A,9.0,8.0,318777.0,54.0
293,009291_E,12.0,19.0,1061123.0,120.0
294,003748_C,8.0,8.0,232242.0,42.0
295,003711_E,14.0,20.0,661790.0,93.0
296,000609_G,3.0,3.0,26698.0,6.0
297,010205_B,8.0,7.0,265674.0,41.0
298,002207_A,12.0,19.0,807111.0,102.0
299,000476_A,11.0,14.0,1239951.0,96.0
300,004075_G,144.0,84.0,4947540.0,857.0
301,004143_G,39.0,104.0,2549813.0,451.0
302,004231_D,8.0,24.0,606623.0,97.0
303,003711_B,20.0,14.0,661790.0,93.0
304,010536_H,55.0,45.0,1708124.0,286.0
305,000609_H,3.0,3.0,26698.0,6.0
306,000407_E,3.0,2.0,75870.0,6.0
307,007802_D,4.0,4.0,92678.0,12.0
308,005278_E,44.0,50.0,1437772.0,259.0
309,007392_C,30.0,17.0,731892.0,86.0
310,000430_B,3.0,3.0,41746.0,8.0
311,002207_F,19.0,12.0,807111.0,102.0
312,007581_H,4.0,4.0,188135.0,13.0
313,011138_F,12.0,13.0,784399.0,67.0
314,010468_G,28.0,44.0,1279361.0,211.0
315,010024_A,6.0,6.0,195157.0,30.0
316,001203_B,6.0,8.0,280810.0,36.0
317,002123_D,25.0,13.0,779863.0,115.0
318,005252_F,5.0,5.0,147338.0,18.0
319,001003_E,22.0,17.0,1004213.0,130.0
320,002164_B,14.0,14.0,568594.0,78.0
321,007523_D,5.0,4.0,92578.0,17.0
322,008038_B,12.0,24.0,727677.0,105.0
323,002864_F,7.0,40.0,1011801.0,160.0
324,011837_F,8.0,8.0,305248.0,49.0
325,010165_H,11.0,35.0,1442300.0,201.0
326,002588_G,5.0,5.0,140076.0,22.0
327,011755_H,29.0,38.0,1036893.0,176.0
328,003643_G,14.0,18.0,896235.0,87.0
329,005625_C,42.0,9.0,1012809.0,165.0
330,001203_H,6.0,8.0,280810.0,36.0
331,003309_C,6.0,5.0,120362.0,24.0
332,004058_D,10.0,6.0,350084.0,37.0
333,005459_G,14.0,15.0,991852.0,150.0
334,004740_B,2.0,3.0,31670.0,6.0
335,005252_C,5.0,5.0,147338.0,18.0
336,010188_E,9.0,8.0,387759.0,52.0
337,009179_C,30.0,16.0,974923.0,127.0
338,009124_D,23.0,15.0,1405072.0,159.0
339,011928_G,19.0,25.0,772196.0,139.0
340,005382_A,3.0,3.0,45019.0,9.0
341,002470_A,8.0,7.0,369986.0,46.0
342,000309_D,4.0,4.0,98144.0,13.0
343,004018_G,18.0,19.0,784009.0,113.0
344,008844_H,20.0,14.0,692490.0,97.0
345,001545_G,4.0,4.0,62326.0,12.0
346,000987_C,7.0,7.0,197950.0,38.0
347,009508_D,41.0,31.0,1245257.0,205.0
348,000289_F,3.0,3.0,96780.0,6.0
349,002864_C,40.0,7.0,1011801.0,160.0
350,011684_E,4.0,4.0,99918.0,14.0
351,008176_D,26.0,5.0,346661.0,39.0
352,003802_D,36.0,12.0,1001931.0,152.0
353,002015_H,16.0,10.0,641106.0,79.0
354,009708_D,6.0,22.0,761980.0,98.0
355,006515_A,25.0,34.0,1007998.0,161.0
356,000185_G,6.0,6.0,182856.0,30.0
357,002297_C,6.0,7.0,148199.0,28.0
358,000609_E,3.0,3.0,26698.0,6.0
359,001753_F,16.0,51.0,1876860.0,259.0
360,011957_D,4.0,4.0,69045.0,11.0
361,001866_C,7.0,10.0,361943.0,25.0
362,011130_B,4.0,8.0,353952.0,27.0
363,007947_C,2.0,3.0,76375.0,5.0
364,002736_G,36.0,8.0,876382.0,145.0
365,004489_D,5.0,5.0,90859.0,21.0
366,006684_B,20.0,17.0,797724.0,121.0
367,004489_G,5.0,5.0,90859.0,21.0
368,005127_H,90.0,75.0,2603033.0,454.0
369,006097_H,88.0,14.0,2150226.0,361.0
370,005990_C,11.0,8.0,300515.0,54.0
371,003619_H,9.0,8.0,350548.0,56.0
372,003955_D,12.0,8.0,634573.0,60.0
373,009625_G,8.0,10.0,498373.0,55.0
374,006733_E,35.0,44.0,2386339.0,382.0
375,010859_H,20.0,10.0,599582.0,89.0
376,001384_C,9.0,28.0,783990.0,112.0
377,011794_F,185.0,174.0,8014488.0,1352.0
378,000439_B,21.0,28.0,998156.0,144.0
379,006035_G,3.0,2.0,36192.0,5.0
380,003799_A,7.0,7.0,325337.0,31.0
381,006202_G,11.0,15.0,528875.0,71.0
382,005988_A,7.0,3.0,68948.0,12.0
383,003955_G,8.0,12.0,634573.0,60.0
384,005542_B,15.0,38.0,948520.0,161.0
385,012076_B,3.0,5.0,80253.0,12.0
386,002588_H,5.0,5.0,140076.0,22.0
387,004740_F,2.0,3.0,31670.0,6.0
388,009304_G,16.0,22.0,762143.0,111.0
389,001384_D,28.0,9.0,783990.0,112.0
390,009124_G,15.0,23.0,1405072.0,159.0
391,005990_F,8.0,11.0,300515.0,54.0
392,008325_E,11.0,49.0,895339.0,149.0
393,007815_E,3.0,2.0,27646.0,5.0
394,010962_A,38.0,7.0,1128586.0,164.0
395,003063_F,6.0,6.0,135605.0,23.0
396,009708_G,22.0,6.0,761980.0,98.0
397,010165_G,35.0,11.0,1442300.0,201.0
398,000487_B,2.0,3.0,47399.0,6.0
399,005658_D,11.0,14.0,643344.0,81.0
400,004242_A,22.0,17.0,748111.0,112.0
401,004075_F,84.0,144.0,4947540.0,857.0
402,004143_F,104.0,39.0,2549813.0,451.0
403,011896_C,5.0,4.0,0.0,0.0
404,007555_E,9.0,9.0,626256.0,54.0
405,003805_C,8.0,8.0,259102.0,48.0
406,007976_A,39.0,33.0,1729213.0,237.0
407,001829_G,4.0,5.0,134192.0,16.0
408,008199_F,6.0,5.0,120844.0,21.0
409,005623_F,23.0,35.0,985523.0,160.0
410,005702_E,11.0,18.0,603170.0,80.0
411,010704_H,26.0,13.0,836259.0,121.0
412,005110_D,31.0,13.0,797318.0,130.0
413,011794_E,174.0,185.0,8014488.0,1352.0
414,006940_F,30.0,19.0,936123.0,144.0
415,006312_H,54.0,38.0,1844162.0,302.0
416,008955_G,27.0,28.0,974181.0,158.0
417,008048_A,30.0,35.0,1027606.0,179.0
418,000694_F,57.0,23.0,2159328.0,285.0
419,006515_D,34.0,25.0,1007998.0,161.0
420,004010_B,12.0,23.0,710968.0,104.0
421,010868_A,92.0,30.0,2232496.0,381.0
422,008087_C,30.0,38.0,1120308.0,186.0
423,000784_E,6.0,5.0,105274.0,24.0
424,011523_C,14.0,12.0,985043.0,101.0
425,004231_H,8.0,24.0,606623.0,97.0
426,002457_B,15.0,8.0,583992.0,70.0
427,001166_E,20.0,14.0,689852.0,120.0
428,002795_D,25.0,25.0,872086.0,141.0
429,011928_A,19.0,25.0,772196.0,139.0
430,004753_C,8.0,12.0,473698.0,54.0
431,010329_E,31.0,15.0,1272999.0,200.0
432,010003_H,29.0,9.0,1075462.0,139.0
433,000309_F,4.0,4.0,98144.0,13.0
434,011097_E,7.0,6.0,368558.0,31.0
435,011481_A,15.0,32.0,1271089.0,179.0
436,009508_G,31.0,41.0,1245257.0,205.0
437,003117_H,7.0,7.0,254559.0,36.0
438,001335_C,19.0,20.0,942164.0,117.0
439,008894_H,2.0,4.0,31309.0,6.0
440,009845_E,2.0,3.0,42513.0,6.0
441,006954_G,11.0,10.0,770481.0,65.0
442,009304_B,22.0,16.0,762143.0,111.0
443,001970_G,14.0,9.0,388235.0,75.0
444,005187_E,8.0,7.0,276083.0,42.0
445,006940_C,19.0,30.0,936123.0,144.0
446,004715_H,4.0,4.0,157586.0,13.0
447,005493_B,6.0,6.0,180670.0,30.0
448,006533_G,7.0,21.0,824429.0,97.0
449,000102_F,34.0,116.0,3528536.0,619.0
450,004678_C,16.0,8.0,500892.0,69.0
451,002319_A,11.0,30.0,853573.0,129.0
452,007651_H,32.0,11.0,1729954.0,202.0
453,001304_B,10.0,13.0,583942.0,99.0
454,008343_A,74.0,51.0,2910856.0,438.0
455,004351_A,49.0,32.0,1668377.0,228.0
456,011684_G,4.0,4.0,99918.0,14.0
457,003865_E,3.0,3.0,66582.0,7.0
458,007851_B,32.0,20.0,859852.0,145.0
459,007694_H,15.0,16.0,866111.0,109.0
460,003405_A,48.0,11.0,1078632.0,156.0
461,001304_C,13.0,10.0,583942.0,99.0
462,008048_E,30.0,35.0,1027606.0,179.0
463,010303_B,5.0,4.0,92912.0,16.0
464,003120_H,5.0,5.0,122330.0,21.0
465,007695_E,121.0,36.0,4823328.0,895.0
466,002149_G,27.0,16.0,787855.0,123.0
467,008859_B,9.0,13.0,397825.0,63.0
468,004111_D,26.0,27.0,0.0,0.0
469,000496_G,7.0,27.0,888089.0,123.0
470,002311_F,8.0,8.0,265265.0,48.0
471,004489_A,5.0,5.0,90859.0,21.0
472,010886_E,6.0,5.0,114101.0,22.0
473,000439_F,21.0,28.0,998156.0,144.0
474,009766_D,7.0,14.0,514165.0,60.0
475,001355_C,25.0,18.0,853550.0,127.0
476,000061_D,6.0,21.0,608002.0,85.0
477,008898_F,2.0,3.0,46418.0,5.0
478,001304_D,10.0,13.0,583942.0,99.0
479,002782_F,39.0,7.0,933895.0,153.0
480,008718_B,22.0,45.0,1192912.0,201.0
481,010277_F,30.0,23.0,1167683.0,205.0
482,005874_A,5.0,5.0,149004.0,22.0
483,010459_C,9.0,8.0,318777.0,54.0
484,004908_A,9.0,31.0,1010648.0,149.0
485,006733_G,35.0,44.0,2386339.0,382.0
486,003824_A,7.0,8.0,274454.0,42.0
487,006827_C,7.0,6.0,290665.0,27.0
488,003120_B,5.0,5.0,122330.0,21.0
489,007416_F,20.0,7.0,581226.0,84.0
490,001334_A,23.0,38.0,1628176.0,282.0
491,001572_F,45.0,23.0,1262062.0,207.0
492,004489_H,5.0,5.0,90859.0,21.0
493,000333_C,24.0,14.0,922933.0,117.0
494,011523_F,12.0,14.0,985043.0,101.0
495,008741_C,51.0,53.0,1656387.0,278.0
496,011957_A,4.0,4.0,69045.0,11.0
497,004445_D,10.0,12.0,541936.0,61.0
498,010634_C,46.0,14.0,1171418.0,186.0
499,008057_A,3.0,2.0,100790.0,5.0
500,005499_D,3.0,3.0,40709.0,8.0
501,007416_E,7.0,20.0,581226.0,84.0
502,008016_F,7.0,7.0,372570.0,35.0
503,001753_H,16.0,51.0,1876860.0,259.0
504,009969_A,4.0,5.0,84821.0,17.0
505,008679_B,11.0,7.0,445485.0,51.0
506,010947_F,38.0,39.0,1258670.0,215.0
507,004143_E,39.0,104.0,2549813.0,451.0
508,005490_E,48.0,39.0,1587967.0,269.0
509,004713_B,69.0,54.0,1794430.0,327.0
510,000293_H,51.0,126.0,3215490.0,540.0
511,006915_F,5.0,6.0,242245.0,25.0
512,002431_H,23.0,7.0,743854.0,105.0
513,000140_E,19.0,2.0,103931.0,20.0
514,011568_G,59.0,51.0,1749719.0,303.0
515,009766_B,7.0,14.0,514165.0,60.0
516,004677_D,8.0,8.0,316782.0,45.0
517,008776_A,15.0,7.0,543407.0,68.0
518,004231_C,24.0,8.0,606623.0,97.0
519,010165_B,11.0,35.0,1442300.0,201.0
520,010634_H,14.0,46.0,1171418.0,186.0
521,008038_D,12.0,24.0,727677.0,105.0
522,005247_D,2.0,3.0,27591.0,5.0
523,003052_B,24.0,47.0,1185344.0,208.0
524,000865_E,6.0,7.0,173240.0,35.0
525,009845_H,3.0,2.0,42513.0,6.0
526,007976_H,33.0,39.0,1729213.0,237.0
527,002015_G,10.0,16.0,641106.0,79.0
528,010025_C,8.0,7.0,416378.0,39.0
529,004928_F,10.0,8.0,460256.0,53.0
530,002371_B,34.0,12.0,1019163.0,168.0
531,009862_C,18.0,9.0,768358.0,113.0
532,005614_C,18.0,32.0,940125.0,147.0
533,004822_H,37.0,11.0,920595.0,152.0
534,008911_F,23.0,7.0,719677.0,98.0
535,004753_E,8.0,12.0,473698.0,54.0
536,005779_F,29.0,114.0,2355072.0,435.0
537,002311_D,8.0,8.0,265265.0,48.0
538,009676_A,3.0,3.0,31468.0,6.0
539,003802_G,12.0,36.0,1001931.0,152.0
540,001207_G,5.0,7.0,249267.0,28.0
541,005752_D,46.0,19.0,1143954.0,194.0
542,006120_B,9.0,30.0,900782.0,128.0
543,008043_A,3.0,3.0,33553.0,7.0
544,008906_B,78.0,23.0,1806497.0,313.0
545,004788_F,6.0,5.0,122584.0,21.0
546,002806_F,4.0,2.0,170406.0,8.0
547,001519_A,18.0,6.0,621684.0,78.0
548,009891_E,5.0,5.0,145646.0,21.0
549,008546_G,6.0,7.0,233867.0,35.0
550,007170_B,41.0,19.0,1047250.0,178.0
551,007803_A,6.0,6.0,157120.0,29.0
552,002367_G,5.0,6.0,109740.0,25.0
553,006632_A,44.0,47.0,2515793.0,413.0
554,006226_H,44.0,10.0,1119494.0,181.0
555,002123_C,13.0,25.0,779863.0,115.0
556,007648_E,44.0,46.0,1576183.0,258.0
557,001866_B,10.0,7.0,361943.0,25.0
558,001203_F,6.0,8.0,280810.0,36.0
559,002207_D,19.0,12.0,807111.0,102.0
560,008977_G,28.0,6.0,779071.0,119.0
561,009304_A,16.0,22.0,762143.0,111.0
562,001976_A,5.0,6.0,145802.0,27.0
563,011928_H,25.0,19.0,772196.0,139.0
564,005239_D,8.0,8.0,259014.0,48.0
565,005247_C,3.0,2.0,27591.0,5.0
566,000309_E,4.0,4.0,98144.0,13.0
567,011197_E,15.0,30.0,1032715.0,146.0
568,001829_A,4.0,5.0,134192.0,16.0
569,009469_C,13.0,8.0,625553.0,85.0
570,001257_D,26.0,12.0,707260.0,145.0
571,006747_E,6.0,33.0,769911.0,134.0
572,001355_G,25.0,18.0,853550.0,127.0
573,007443_F,21.0,13.0,834415.0,115.0
574,001829_E,4.0,5.0,134192.0,16.0
